Time (s),FORCE_COEFFICIENT_CD,FORCE_COEFFICIENT_CL,PRESSURE_FORCE_X,PRESSURE_FORCE_Y,PRESSURE_FORCE_Z,PRESSURE_MOMENT_X,PRESSURE_MOMENT_Y,PRESSURE_MOMENT_Z,VISCOUS_FORCE_X,VISCOUS_FORCE_Y,VISCOUS_FORCE_Z,VISCOUS_MOMENT_X,VISCOUS_MOMENT_Y,VISCOUS_MOMENT_Z
520,0.1778058011,0.6292237322,9.406499728,5.353313588,-1.205648829,-1.427011092,1.753066612,-1.239033631,0.05390086602,-0.03148125722,-0.2981925113,-0.05444278641,0.06716001195,-0.02176563007
540,0.1807985747,0.6222283803,9.44293669,5.2943412,-1.231177874,-1.423600553,1.763241334,-1.253123732,0.05415742266,-0.03167397684,-0.2979756709,-0.05413142919,0.06713044057,-0.021875567
560,0.1796585393,0.6154262819,9.44137382,5.236933454,-1.223345968,-1.405213715,1.763313599,-1.258025815,0.05425620518,-0.0317968445,-0.2961654141,-0.05384912859,0.06682260023,-0.02197408436
580,0.1796199524,0.6051226846,9.450375487,5.149912028,-1.224300809,-1.38038775,1.767004581,-1.267925612,0.05451165166,-0.03192091952,-0.2948842135,-0.05356573084,0.06676074196,-0.02206491553
600,0.1793723611,0.597998918,9.44525228,5.089841928,-1.223510902,-1.372365492,1.767030751,-1.274267612,0.05419125852,-0.03210202947,-0.2935800491,-0.05330154602,0.06643769579,-0.0221777829
620,0.1782047585,0.5923125279,9.437655024,5.04184307,-1.215431226,-1.355949785,1.766395141,-1.278375907,0.0545291131,-0.03219737597,-0.291784406,-0.05309796251,0.06638653497,-0.02227436349
640,0.1775976168,0.5949881574,9.423882755,5.064580536,-1.210424327,-1.371694321,1.763637571,-1.273691959,0.05450466317,-0.03230497043,-0.291656237,-0.05292205251,0.06628572724,-0.02235920222
660,0.1778075894,0.595169313,9.41352666,5.066174414,-1.211798955,-1.376261733,1.761212526,-1.272800862,0.05511579148,-0.03236667605,-0.292057511,-0.05278789045,0.06648230932,-0.02243462926
680,0.1770615596,0.6026486681,9.397062501,5.129452558,-1.20643084,-1.387081274,1.757587031,-1.264677699,0.05549012163,-0.0323861222,-0.2911158735,-0.05268041881,0.06640302195,-0.02248332304
700,0.1767225225,0.5979540208,9.384176435,5.089766722,-1.204035945,-1.377922584,1.755452325,-1.266993929,0.0554937657,-0.03240655285,-0.2906432694,-0.05258970155,0.06622170524,-0.02250886985
720,0.1767646416,0.5840798985,9.37790652,4.972422733,-1.203491761,-1.359989693,1.754190412,-1.27763909,0.05566103133,-0.03240676015,-0.2915436877,-0.05251843057,0.06639269062,-0.02253920575
740,0.1762785594,0.5906831011,9.369661982,5.028323578,-1.199725318,-1.369740868,1.753147105,-1.27104112,0.05567232045,-0.0324592074,-0.2911989571,-0.05241342898,0.06635312978,-0.02257166624
760,0.1760745368,0.597177153,9.348567854,5.083211619,-1.197638081,-1.383581577,1.74809805,-1.262758986,0.05612909159,-0.03242202308,-0.2915606165,-0.05235844594,0.06647286784,-0.02258596689
780,0.1768309671,0.5935671162,9.337611165,5.052706518,-1.204309683,-1.381022469,1.745563304,-1.262445637,0.05619561011,-0.03244979944,-0.2912867312,-0.05229412664,0.06635233332,-0.02260539055
800,0.1771581145,0.6021075321,9.332651983,5.124934662,-1.207820855,-1.391701787,1.744724191,-1.25223648,0.05645918785,-0.0324450326,-0.2905424991,-0.05225091858,0.06630724694,-0.0226255885
820,0.1768828101,0.613316891,9.314308655,5.219615022,-1.205385761,-1.420798385,1.73976253,-1.237275296,0.05627821269,-0.03231916436,-0.2906491301,-0.05223473643,0.06628365814,-0.02260224361
840,0.1754032942,0.6160269024,9.297818065,5.242557919,-1.192485751,-1.421450193,1.735019487,-1.230721528,0.05633740931,-0.03234139585,-0.2910357282,-0.0522658618,0.06641653341,-0.02261342089
860,0.175413233,0.6217890546,9.306016315,5.291415789,-1.192886983,-1.428065836,1.736592549,-1.226074155,0.05573981269,-0.03246428364,-0.2907185567,-0.05226581544,0.0661436378,-0.02263550708
880,0.1758394721,0.612852319,9.317421173,5.215938491,-1.196487132,-1.413857448,1.739263144,-1.23545811,0.05597141797,-0.03257187863,-0.2907234413,-0.05224889941,0.06636760289,-0.02266461912
900,0.1760141506,0.6081084701,9.341807989,5.175895063,-1.198801007,-1.40454729,1.7455076,-1.243361337,0.05554761074,-0.03265085345,-0.2898869574,-0.05218467447,0.06620188887,-0.02269014956
920,0.1758255079,0.6062641376,9.353700822,5.160174117,-1.198493392,-1.393717409,1.749063603,-1.247183932,0.05543986866,-0.0325288558,-0.2885990755,-0.05215034219,0.06613752321,-0.02267537924
940,0.1754753062,0.6047982498,9.352608802,5.147734028,-1.19545432,-1.394709525,1.749687433,-1.250497122,0.05538007924,-0.03248691517,-0.288676221,-0.0520943322,0.06607565571,-0.02267436892
960,0.1757634324,0.5935108218,9.348399936,5.052323985,-1.196992547,-1.378321907,1.748459159,-1.260134873,0.05577823788,-0.03254339075,-0.2895748999,-0.05206340584,0.06629947508,-0.02270387945
980,0.1762527641,0.6008721861,9.341319494,5.114629367,-1.200829519,-1.396490409,1.74731172,-1.253766662,0.05581495186,-0.03258801551,-0.2898765844,-0.05204094606,0.06625210435,-0.02272426157
1000,0.1763337263,0.6027581664,9.322889208,5.130549735,-1.201032087,-1.397623693,1.743097676,-1.250605714,0.05628573695,-0.03255718713,-0.2903587765,-0.05205108143,0.06634526834,-0.02272411294
