Time (s),PRESSURE_FORCE_X,PRESSURE_FORCE_Y,PRESSURE_FORCE_Z,VISCOUS_FORCE_X,VISCOUS_FORCE_Y,VISCOUS_FORCE_Z,PRESSURE_MOMENT_X,PRESSURE_MOMENT_Y,PRESSURE_MOMENT_Z,VISCOUS_MOMENT_X,VISCOUS_MOMENT_Y,VISCOUS_MOMENT_Z,FORCE_COEFFICIENT_CD,FORCE_COEFFICIENT_CL
1,-6.51E+01,-1.45E+02,2.14E+00,-1.69E+00,7.25E-02,-2.39E-03,-5.92E+01,2.71E+01,3.81E+01,3.43E-02,7.00E-01,4.66E-02,5.02E-01,-1.09E+00
2,-9.17E+01,-2.51E+02,4.26E+00,-1.69E+00,1.85E-01,-5.64E-03,-1.02E+02,3.85E+01,5.95E+01,8.09E-02,6.99E-01,6.32E-03,7.03E-01,-1.89E+00
3,-5.83E+01,-2.24E+02,3.92E+00,-1.65E+00,2.08E-01,-8.26E-03,-9.03E+01,2.49E+01,4.45E+01,9.01E-02,6.79E-01,-6.13E-03,4.51E-01,-1.68E+00
4,-1.17E+01,-1.36E+02,2.27E+00,-1.61E+00,2.15E-01,-9.67E-03,-5.49E+01,5.92E+00,1.79E+01,9.36E-02,6.62E-01,-1.27E-02,1.00E-01,-1.02E+00
5,-1.65E+00,-9.29E+01,1.69E+00,-1.60E+00,2.09E-01,-9.06E-03,-3.81E+01,2.06E+00,8.59E+00,9.21E-02,6.54E-01,-1.27E-02,2.44E-02,-6.98E-01
6,-3.23E+01,-1.28E+02,3.13E+00,-1.59E+00,1.98E-01,-8.93E-03,-5.27E+01,1.50E+01,2.18E+01,8.78E-02,6.52E-01,-8.79E-03,2.55E-01,-9.63E-01
7,-7.14E+01,-1.98E+02,5.46E+00,-1.60E+00,1.89E-01,-8.75E-03,-8.05E+01,3.13E+01,4.13E+01,8.48E-02,6.56E-01,-6.03E-03,5.49E-01,-1.49E+00
8,-8.75E+01,-2.43E+02,6.98E+00,-1.60E+00,1.88E-01,-1.08E-02,-9.76E+01,3.81E+01,5.02E+01,8.43E-02,6.55E-01,-7.34E-03,6.70E-01,-1.83E+00
9,-7.54E+01,-2.40E+02,6.96E+00,-1.57E+00,1.89E-01,-1.02E-02,-9.52E+01,3.32E+01,4.45E+01,8.44E-02,6.42E-01,-9.09E-03,5.79E-01,-1.80E+00
10,-5.43E+01,-2.09E+02,6.08E+00,-1.56E+00,1.92E-01,-9.61E-03,-8.24E+01,2.45E+01,3.35E+01,8.56E-02,6.32E-01,-1.16E-02,4.20E-01,-1.57E+00
11,-4.37E+01,-1.86E+02,5.54E+00,-1.56E+00,1.94E-01,-9.84E-03,-7.30E+01,2.02E+01,2.72E+01,8.64E-02,6.32E-01,-1.30E-02,3.41E-01,-1.40E+00
12,-4.81E+01,-1.87E+02,5.87E+00,-1.58E+00,1.95E-01,-1.04E-02,-7.33E+01,2.21E+01,2.84E+01,8.72E-02,6.37E-01,-1.36E-02,3.74E-01,-1.40E+00
13,-5.73E+01,-2.02E+02,6.61E+00,-1.59E+00,1.93E-01,-1.04E-02,-7.90E+01,2.59E+01,3.23E+01,8.70E-02,6.40E-01,-1.32E-02,4.43E-01,-1.52E+00
14,-6.01E+01,-2.15E+02,7.03E+00,-1.59E+00,1.92E-01,-1.06E-02,-8.32E+01,2.71E+01,3.35E+01,8.70E-02,6.39E-01,-1.33E-02,4.64E-01,-1.62E+00
15,-5.56E+01,-2.18E+02,6.84E+00,-1.60E+00,1.93E-01,-1.10E-02,-8.36E+01,2.51E+01,3.15E+01,8.76E-02,6.40E-01,-1.43E-02,4.30E-01,-1.64E+00
16,-4.98E+01,-2.15E+02,6.37E+00,-1.60E+00,1.95E-01,-1.16E-02,-8.19E+01,2.26E+01,2.90E+01,8.87E-02,6.40E-01,-1.60E-02,3.86E-01,-1.61E+00
17,-4.75E+01,-2.12E+02,6.07E+00,-1.61E+00,1.98E-01,-1.23E-02,-8.09E+01,2.17E+01,2.80E+01,9.05E-02,6.42E-01,-1.79E-02,3.69E-01,-1.59E+00
18,-4.89E+01,-2.13E+02,6.10E+00,-1.61E+00,1.99E-01,-1.32E-02,-8.16E+01,2.24E+01,2.86E+01,9.09E-02,6.43E-01,-1.92E-02,3.80E-01,-1.60E+00
19,-5.11E+01,-2.18E+02,6.26E+00,-1.62E+00,1.98E-01,-1.37E-02,-8.34E+01,2.33E+01,2.96E+01,9.06E-02,6.43E-01,-1.99E-02,3.97E-01,-1.64E+00
20,-5.18E+01,-2.23E+02,6.26E+00,-1.62E+00,1.96E-01,-1.47E-02,-8.50E+01,2.36E+01,2.98E+01,9.03E-02,6.42E-01,-2.04E-02,4.02E-01,-1.67E+00
21,-5.11E+01,-2.26E+02,6.02E+00,-1.62E+00,1.94E-01,-1.56E-02,-8.60E+01,2.31E+01,2.95E+01,8.96E-02,6.43E-01,-2.07E-02,3.96E-01,-1.70E+00
22,-5.00E+01,-2.27E+02,5.66E+00,-1.63E+00,1.94E-01,-1.66E-02,-8.65E+01,2.26E+01,2.91E+01,9.00E-02,6.44E-01,-2.16E-02,3.89E-01,-1.71E+00
23,-4.97E+01,-2.29E+02,5.43E+00,-1.64E+00,1.97E-01,-1.84E-02,-8.69E+01,2.25E+01,2.90E+01,9.12E-02,6.46E-01,-2.30E-02,3.86E-01,-1.72E+00
24,-5.01E+01,-2.30E+02,5.41E+00,-1.64E+00,1.99E-01,-1.87E-02,-8.77E+01,2.27E+01,2.93E+01,9.23E-02,6.46E-01,-2.45E-02,3.89E-01,-1.73E+00
25,-5.05E+01,-2.33E+02,5.53E+00,-1.64E+00,1.99E-01,-1.96E-02,-8.87E+01,2.29E+01,2.96E+01,9.27E-02,6.47E-01,-2.55E-02,3.92E-01,-1.75E+00
26,-5.07E+01,-2.35E+02,5.63E+00,-1.65E+00,2.00E-01,-2.04E-02,-8.97E+01,2.30E+01,2.97E+01,9.32E-02,6.47E-01,-2.66E-02,3.94E-01,-1.77E+00
27,-5.07E+01,-2.38E+02,5.62E+00,-1.65E+00,2.00E-01,-2.12E-02,-9.05E+01,2.30E+01,2.98E+01,9.35E-02,6.48E-01,-2.76E-02,3.94E-01,-1.79E+00
28,-5.04E+01,-2.40E+02,5.56E+00,-1.66E+00,1.99E-01,-2.26E-02,-9.11E+01,2.29E+01,2.96E+01,9.33E-02,6.50E-01,-2.84E-02,3.92E-01,-1.80E+00
29,-5.02E+01,-2.41E+02,5.56E+00,-1.66E+00,1.98E-01,-2.29E-02,-9.17E+01,2.28E+01,2.96E+01,9.37E-02,6.48E-01,-2.93E-02,3.90E-01,-1.81E+00
30,-5.04E+01,-2.43E+02,5.67E+00,-1.66E+00,1.98E-01,-2.41E-02,-9.22E+01,2.30E+01,2.97E+01,9.40E-02,6.51E-01,-3.01E-02,3.91E-01,-1.82E+00
31,-5.05E+01,-2.44E+02,5.87E+00,-1.66E+00,1.98E-01,-2.43E-02,-9.28E+01,2.31E+01,2.98E+01,9.43E-02,6.50E-01,-3.11E-02,3.93E-01,-1.83E+00
32,-5.06E+01,-2.45E+02,6.08E+00,-1.67E+00,1.98E-01,-2.45E-02,-9.34E+01,2.33E+01,2.99E+01,9.44E-02,6.50E-01,-3.20E-02,3.93E-01,-1.84E+00
33,-5.05E+01,-2.47E+02,6.26E+00,-1.67E+00,1.98E-01,-2.48E-02,-9.39E+01,2.33E+01,2.99E+01,9.47E-02,6.50E-01,-3.30E-02,3.92E-01,-1.85E+00
34,-5.04E+01,-2.48E+02,6.39E+00,-1.67E+00,1.98E-01,-2.53E-02,-9.44E+01,2.33E+01,2.98E+01,9.49E-02,6.50E-01,-3.40E-02,3.91E-01,-1.86E+00
35,-5.02E+01,-2.49E+02,6.50E+00,-1.67E+00,1.97E-01,-2.53E-02,-9.47E+01,2.33E+01,2.97E+01,9.49E-02,6.49E-01,-3.49E-02,3.90E-01,-1.87E+00
36,-5.01E+01,-2.50E+02,6.61E+00,-1.67E+00,1.95E-01,-2.55E-02,-9.51E+01,2.33E+01,2.97E+01,9.46E-02,6.49E-01,-3.56E-02,3.89E-01,-1.88E+00
37,-5.00E+01,-2.51E+02,6.72E+00,-1.67E+00,1.94E-01,-2.60E-02,-9.54E+01,2.33E+01,2.96E+01,9.43E-02,6.49E-01,-3.62E-02,3.89E-01,-1.88E+00
38,-5.00E+01,-2.52E+02,6.82E+00,-1.67E+00,1.93E-01,-2.58E-02,-9.57E+01,2.33E+01,2.96E+01,9.40E-02,6.49E-01,-3.68E-02,3.89E-01,-1.89E+00
39,-5.00E+01,-2.52E+02,6.89E+00,-1.67E+00,1.92E-01,-2.57E-02,-9.60E+01,2.34E+01,2.96E+01,9.38E-02,6.48E-01,-3.74E-02,3.89E-01,-1.90E+00
40,-4.99E+01,-2.53E+02,6.97E+00,-1.67E+00,1.91E-01,-2.56E-02,-9.62E+01,2.33E+01,2.95E+01,9.37E-02,6.48E-01,-3.81E-02,3.88E-01,-1.90E+00
41,-4.97E+01,-2.54E+02,7.04E+00,-1.67E+00,1.91E-01,-2.55E-02,-9.65E+01,2.33E+01,2.94E+01,9.37E-02,6.48E-01,-3.88E-02,3.86E-01,-1.91E+00
42,-4.95E+01,-2.54E+02,7.09E+00,-1.68E+00,1.90E-01,-2.55E-02,-9.67E+01,2.33E+01,2.93E+01,9.38E-02,6.48E-01,-3.95E-02,3.85E-01,-1.91E+00
43,-4.95E+01,-2.55E+02,7.11E+00,-1.68E+00,1.90E-01,-2.55E-02,-9.69E+01,2.32E+01,2.93E+01,9.39E-02,6.48E-01,-4.03E-02,3.85E-01,-1.92E+00
44,-4.95E+01,-2.56E+02,7.11E+00,-1.68E+00,1.90E-01,-2.56E-02,-9.71E+01,2.32E+01,2.93E+01,9.41E-02,6.48E-01,-4.10E-02,3.85E-01,-1.92E+00
45,-4.94E+01,-2.56E+02,7.11E+00,-1.68E+00,1.90E-01,-2.57E-02,-9.73E+01,2.32E+01,2.92E+01,9.42E-02,6.48E-01,-4.17E-02,3.84E-01,-1.93E+00
46,-4.93E+01,-2.57E+02,7.12E+00,-1.69E+00,1.89E-01,-2.58E-02,-9.74E+01,2.32E+01,2.91E+01,9.43E-02,6.49E-01,-4.23E-02,3.84E-01,-1.93E+00
47,-4.92E+01,-2.57E+02,7.11E+00,-1.69E+00,1.89E-01,-2.59E-02,-9.74E+01,2.31E+01,2.90E+01,9.45E-02,6.49E-01,-4.29E-02,3.83E-01,-1.93E+00
48,-4.90E+01,-2.57E+02,7.07E+00,-1.69E+00,1.89E-01,-2.60E-02,-9.74E+01,2.30E+01,2.89E+01,9.46E-02,6.49E-01,-4.35E-02,3.82E-01,-1.93E+00
49,-4.89E+01,-2.57E+02,7.00E+00,-1.69E+00,1.89E-01,-2.60E-02,-9.74E+01,2.29E+01,2.88E+01,9.48E-02,6.49E-01,-4.42E-02,3.81E-01,-1.93E+00
50,-4.89E+01,-2.57E+02,6.95E+00,-1.70E+00,1.89E-01,-2.59E-02,-9.74E+01,2.29E+01,2.88E+01,9.51E-02,6.49E-01,-4.48E-02,3.80E-01,-1.94E+00
51,-4.88E+01,-2.58E+02,6.91E+00,-1.70E+00,1.89E-01,-2.59E-02,-9.74E+01,2.28E+01,2.87E+01,9.53E-02,6.50E-01,-4.55E-02,3.80E-01,-1.94E+00
52,-4.87E+01,-2.58E+02,6.90E+00,-1.70E+00,1.89E-01,-2.57E-02,-9.73E+01,2.28E+01,2.86E+01,9.55E-02,6.50E-01,-4.61E-02,3.79E-01,-1.94E+00
53,-4.86E+01,-2.58E+02,6.89E+00,-1.70E+00,1.89E-01,-2.56E-02,-9.73E+01,2.27E+01,2.85E+01,9.58E-02,6.51E-01,-4.67E-02,3.79E-01,-1.94E+00
54,-4.85E+01,-2.57E+02,6.86E+00,-1.71E+00,1.89E-01,-2.55E-02,-9.72E+01,2.26E+01,2.85E+01,9.59E-02,6.51E-01,-4.72E-02,3.78E-01,-1.94E+00
55,-4.84E+01,-2.57E+02,6.82E+00,-1.71E+00,1.89E-01,-2.53E-02,-9.71E+01,2.26E+01,2.84E+01,9.62E-02,6.52E-01,-4.78E-02,3.77E-01,-1.93E+00
56,-4.83E+01,-2.57E+02,6.81E+00,-1.71E+00,1.89E-01,-2.47E-02,-9.70E+01,2.25E+01,2.83E+01,9.64E-02,6.53E-01,-4.83E-02,3.76E-01,-1.93E+00
57,-4.83E+01,-2.57E+02,6.81E+00,-1.72E+00,1.89E-01,-2.49E-02,-9.69E+01,2.25E+01,2.82E+01,9.68E-02,6.54E-01,-4.89E-02,3.76E-01,-1.93E+00
58,-4.82E+01,-2.57E+02,6.80E+00,-1.72E+00,1.89E-01,-2.47E-02,-9.67E+01,2.24E+01,2.81E+01,9.67E-02,6.54E-01,-4.92E-02,3.76E-01,-1.93E+00
59,-4.82E+01,-2.57E+02,6.79E+00,-1.72E+00,1.89E-01,-2.46E-02,-9.66E+01,2.24E+01,2.81E+01,9.69E-02,6.54E-01,-4.97E-02,3.75E-01,-1.93E+00
60,-4.81E+01,-2.56E+02,6.78E+00,-1.72E+00,1.89E-01,-2.45E-02,-9.65E+01,2.23E+01,2.80E+01,9.71E-02,6.55E-01,-5.00E-02,3.75E-01,-1.93E+00
61,-4.81E+01,-2.56E+02,6.79E+00,-1.72E+00,1.89E-01,-2.43E-02,-9.64E+01,2.23E+01,2.80E+01,9.74E-02,6.55E-01,-5.04E-02,3.75E-01,-1.93E+00
62,-4.81E+01,-2.56E+02,6.83E+00,-1.73E+00,1.89E-01,-2.42E-02,-9.63E+01,2.23E+01,2.79E+01,9.76E-02,6.56E-01,-5.07E-02,3.75E-01,-1.92E+00
63,-4.81E+01,-2.56E+02,6.88E+00,-1.73E+00,1.89E-01,-2.38E-02,-9.62E+01,2.23E+01,2.79E+01,9.78E-02,6.56E-01,-5.11E-02,3.75E-01,-1.92E+00
64,-4.81E+01,-2.56E+02,6.92E+00,-1.73E+00,1.88E-01,-2.39E-02,-9.60E+01,2.23E+01,2.79E+01,9.79E-02,6.57E-01,-5.13E-02,3.75E-01,-1.92E+00
65,-4.81E+01,-2.55E+02,6.95E+00,-1.73E+00,1.88E-01,-2.37E-02,-9.59E+01,2.23E+01,2.79E+01,9.80E-02,6.57E-01,-5.17E-02,3.75E-01,-1.92E+00
66,-4.81E+01,-2.55E+02,6.99E+00,-1.73E+00,1.88E-01,-2.33E-02,-9.58E+01,2.23E+01,2.78E+01,9.82E-02,6.58E-01,-5.20E-02,3.75E-01,-1.92E+00
67,-4.81E+01,-2.55E+02,7.04E+00,-1.73E+00,1.88E-01,-2.33E-02,-9.56E+01,2.23E+01,2.78E+01,9.82E-02,6.58E-01,-5.23E-02,3.75E-01,-1.92E+00
68,-4.82E+01,-2.55E+02,7.09E+00,-1.74E+00,1.88E-01,-2.32E-02,-9.55E+01,2.23E+01,2.78E+01,9.83E-02,6.59E-01,-5.26E-02,3.75E-01,-1.91E+00
69,-4.82E+01,-2.54E+02,7.14E+00,-1.74E+00,1.87E-01,-2.28E-02,-9.54E+01,2.24E+01,2.78E+01,9.83E-02,6.60E-01,-5.29E-02,3.76E-01,-1.91E+00
70,-4.82E+01,-2.54E+02,7.18E+00,-1.74E+00,1.87E-01,-2.25E-02,-9.52E+01,2.24E+01,2.78E+01,9.83E-02,6.61E-01,-5.32E-02,3.76E-01,-1.91E+00
71,-4.82E+01,-2.53E+02,7.21E+00,-1.74E+00,1.86E-01,-2.28E-02,-9.50E+01,2.23E+01,2.78E+01,9.83E-02,6.61E-01,-5.35E-02,3.76E-01,-1.90E+00
72,-4.82E+01,-2.53E+02,7.24E+00,-1.74E+00,1.86E-01,-2.23E-02,-9.48E+01,2.23E+01,2.77E+01,9.82E-02,6.62E-01,-5.38E-02,3.76E-01,-1.90E+00
73,-4.82E+01,-2.52E+02,7.28E+00,-1.75E+00,1.86E-01,-2.21E-02,-9.46E+01,2.23E+01,2.77E+01,9.82E-02,6.63E-01,-5.41E-02,3.75E-01,-1.89E+00
74,-4.82E+01,-2.51E+02,7.33E+00,-1.75E+00,1.85E-01,-2.19E-02,-9.44E+01,2.23E+01,2.76E+01,9.82E-02,6.64E-01,-5.43E-02,3.75E-01,-1.89E+00
75,-4.81E+01,-2.50E+02,7.40E+00,-1.75E+00,1.85E-01,-2.16E-02,-9.42E+01,2.23E+01,2.76E+01,9.82E-02,6.64E-01,-5.46E-02,3.75E-01,-1.88E+00
76,-4.81E+01,-2.49E+02,7.47E+00,-1.75E+00,1.85E-01,-2.15E-02,-9.39E+01,2.23E+01,2.76E+01,9.81E-02,6.65E-01,-5.48E-02,3.75E-01,-1.87E+00
77,-4.81E+01,-2.48E+02,7.53E+00,-1.75E+00,1.85E-01,-2.12E-02,-9.36E+01,2.22E+01,2.75E+01,9.81E-02,6.66E-01,-5.50E-02,3.75E-01,-1.87E+00
78,-4.80E+01,-2.47E+02,7.58E+00,-1.75E+00,1.85E-01,-2.08E-02,-9.33E+01,2.22E+01,2.74E+01,9.81E-02,6.66E-01,-5.51E-02,3.75E-01,-1.86E+00
79,-4.80E+01,-2.46E+02,7.64E+00,-1.75E+00,1.85E-01,-2.07E-02,-9.30E+01,2.22E+01,2.74E+01,9.83E-02,6.67E-01,-5.53E-02,3.74E-01,-1.85E+00
80,-4.80E+01,-2.45E+02,7.70E+00,-1.76E+00,1.85E-01,-2.05E-02,-9.27E+01,2.22E+01,2.73E+01,9.84E-02,6.68E-01,-5.54E-02,3.74E-01,-1.84E+00
81,-4.79E+01,-2.43E+02,7.78E+00,-1.76E+00,1.85E-01,-2.03E-02,-9.24E+01,2.21E+01,2.73E+01,9.86E-02,6.69E-01,-5.56E-02,3.74E-01,-1.83E+00
82,-4.78E+01,-2.42E+02,7.87E+00,-1.76E+00,1.85E-01,-2.01E-02,-9.20E+01,2.21E+01,2.72E+01,9.86E-02,6.69E-01,-5.56E-02,3.73E-01,-1.82E+00
83,-4.78E+01,-2.40E+02,7.99E+00,-1.76E+00,1.85E-01,-1.99E-02,-9.16E+01,2.21E+01,2.71E+01,9.88E-02,6.70E-01,-5.57E-02,3.73E-01,-1.81E+00
84,-4.77E+01,-2.39E+02,8.10E+00,-1.76E+00,1.85E-01,-1.98E-02,-9.12E+01,2.21E+01,2.70E+01,9.89E-02,6.71E-01,-5.57E-02,3.72E-01,-1.80E+00
85,-4.76E+01,-2.37E+02,8.20E+00,-1.77E+00,1.86E-01,-1.96E-02,-9.08E+01,2.20E+01,2.69E+01,9.90E-02,6.72E-01,-5.58E-02,3.71E-01,-1.78E+00
86,-4.75E+01,-2.36E+02,8.28E+00,-1.77E+00,1.86E-01,-1.96E-02,-9.03E+01,2.20E+01,2.68E+01,9.93E-02,6.73E-01,-5.59E-02,3.70E-01,-1.77E+00
87,-4.74E+01,-2.34E+02,8.35E+00,-1.77E+00,1.87E-01,-1.96E-02,-8.99E+01,2.19E+01,2.67E+01,9.95E-02,6.73E-01,-5.60E-02,3.70E-01,-1.76E+00
88,-4.72E+01,-2.32E+02,8.41E+00,-1.77E+00,1.87E-01,-1.95E-02,-8.94E+01,2.19E+01,2.66E+01,9.97E-02,6.74E-01,-5.61E-02,3.68E-01,-1.75E+00
89,-4.71E+01,-2.31E+02,8.45E+00,-1.77E+00,1.88E-01,-1.94E-02,-8.90E+01,2.18E+01,2.65E+01,9.99E-02,6.75E-01,-5.61E-02,3.67E-01,-1.73E+00
90,-4.70E+01,-2.29E+02,8.44E+00,-1.78E+00,1.89E-01,-1.95E-02,-8.86E+01,2.18E+01,2.64E+01,1.00E-01,6.76E-01,-5.63E-02,3.67E-01,-1.72E+00
91,-4.70E+01,-2.28E+02,8.40E+00,-1.78E+00,1.89E-01,-1.93E-02,-8.82E+01,2.17E+01,2.64E+01,1.01E-01,6.77E-01,-5.64E-02,3.67E-01,-1.72E+00
92,-4.70E+01,-2.28E+02,8.34E+00,-1.78E+00,1.90E-01,-1.93E-02,-8.79E+01,2.17E+01,2.63E+01,1.01E-01,6.78E-01,-5.65E-02,3.67E-01,-1.71E+00
93,-4.70E+01,-2.27E+02,8.25E+00,-1.78E+00,1.91E-01,-1.94E-02,-8.77E+01,2.16E+01,2.63E+01,1.01E-01,6.79E-01,-5.66E-02,3.67E-01,-1.71E+00
94,-4.69E+01,-2.27E+02,8.14E+00,-1.78E+00,1.91E-01,-1.94E-02,-8.75E+01,2.16E+01,2.63E+01,1.01E-01,6.79E-01,-5.67E-02,3.67E-01,-1.70E+00
95,-4.69E+01,-2.27E+02,8.01E+00,-1.78E+00,1.92E-01,-1.94E-02,-8.73E+01,2.15E+01,2.63E+01,1.02E-01,6.80E-01,-5.68E-02,3.67E-01,-1.70E+00
96,-4.70E+01,-2.27E+02,7.87E+00,-1.78E+00,1.93E-01,-1.94E-02,-8.72E+01,2.15E+01,2.63E+01,1.02E-01,6.81E-01,-5.69E-02,3.67E-01,-1.70E+00
97,-4.70E+01,-2.27E+02,7.72E+00,-1.78E+00,1.94E-01,-1.93E-02,-8.71E+01,2.14E+01,2.63E+01,1.03E-01,6.82E-01,-5.71E-02,3.67E-01,-1.70E+00
98,-4.71E+01,-2.27E+02,7.55E+00,-1.78E+00,1.94E-01,-1.93E-02,-8.70E+01,2.14E+01,2.64E+01,1.03E-01,6.82E-01,-5.72E-02,3.67E-01,-1.71E+00
99,-4.71E+01,-2.28E+02,7.36E+00,-1.78E+00,1.95E-01,-1.90E-02,-8.70E+01,2.14E+01,2.64E+01,1.03E-01,6.83E-01,-5.74E-02,3.68E-01,-1.71E+00
100,-4.72E+01,-2.29E+02,7.16E+00,-1.79E+00,1.95E-01,-1.87E-02,-8.70E+01,2.13E+01,2.65E+01,1.04E-01,6.84E-01,-5.75E-02,3.69E-01,-1.72E+00
101,-4.73E+01,-2.30E+02,6.99E+00,-1.79E+00,1.96E-01,-1.83E-02,-8.71E+01,2.13E+01,2.66E+01,1.04E-01,6.84E-01,-5.77E-02,3.69E-01,-1.73E+00
102,-4.74E+01,-2.31E+02,6.84E+00,-1.79E+00,1.96E-01,-1.81E-02,-8.73E+01,2.13E+01,2.67E+01,1.04E-01,6.85E-01,-5.78E-02,3.70E-01,-1.73E+00
103,-4.75E+01,-2.31E+02,6.68E+00,-1.79E+00,1.96E-01,-1.78E-02,-8.74E+01,2.13E+01,2.68E+01,1.04E-01,6.85E-01,-5.79E-02,3.71E-01,-1.74E+00
104,-4.76E+01,-2.32E+02,6.50E+00,-1.79E+00,1.96E-01,-1.75E-02,-8.75E+01,2.13E+01,2.68E+01,1.05E-01,6.86E-01,-5.81E-02,3.71E-01,-1.75E+00
105,-4.77E+01,-2.33E+02,6.31E+00,-1.79E+00,1.96E-01,-1.73E-02,-8.76E+01,2.13E+01,2.69E+01,1.05E-01,6.87E-01,-5.82E-02,3.72E-01,-1.75E+00
106,-4.78E+01,-2.34E+02,6.13E+00,-1.79E+00,1.96E-01,-1.70E-02,-8.77E+01,2.13E+01,2.69E+01,1.05E-01,6.87E-01,-5.83E-02,3.73E-01,-1.76E+00
107,-4.78E+01,-2.34E+02,5.99E+00,-1.79E+00,1.96E-01,-1.69E-02,-8.78E+01,2.13E+01,2.70E+01,1.05E-01,6.88E-01,-5.84E-02,3.73E-01,-1.76E+00
108,-4.79E+01,-2.34E+02,5.91E+00,-1.79E+00,1.96E-01,-1.67E-02,-8.79E+01,2.13E+01,2.70E+01,1.05E-01,6.89E-01,-5.85E-02,3.74E-01,-1.76E+00
109,-4.79E+01,-2.34E+02,5.89E+00,-1.80E+00,1.96E-01,-1.66E-02,-8.79E+01,2.13E+01,2.70E+01,1.05E-01,6.90E-01,-5.86E-02,3.74E-01,-1.76E+00
110,-4.78E+01,-2.33E+02,5.91E+00,-1.80E+00,1.95E-01,-1.65E-02,-8.78E+01,2.13E+01,2.69E+01,1.05E-01,6.91E-01,-5.87E-02,3.73E-01,-1.75E+00
111,-4.78E+01,-2.33E+02,5.98E+00,-1.80E+00,1.95E-01,-1.65E-02,-8.77E+01,2.13E+01,2.69E+01,1.05E-01,6.91E-01,-5.88E-02,3.73E-01,-1.75E+00
112,-4.77E+01,-2.32E+02,6.07E+00,-1.80E+00,1.95E-01,-1.62E-02,-8.75E+01,2.13E+01,2.68E+01,1.05E-01,6.92E-01,-5.88E-02,3.72E-01,-1.74E+00
113,-4.76E+01,-2.31E+02,6.17E+00,-1.80E+00,1.95E-01,-1.61E-02,-8.74E+01,2.13E+01,2.68E+01,1.05E-01,6.93E-01,-5.89E-02,3.72E-01,-1.73E+00
114,-4.75E+01,-2.30E+02,6.30E+00,-1.81E+00,1.95E-01,-1.60E-02,-8.73E+01,2.13E+01,2.67E+01,1.05E-01,6.94E-01,-5.89E-02,3.71E-01,-1.73E+00
115,-4.74E+01,-2.29E+02,6.45E+00,-1.81E+00,1.95E-01,-1.58E-02,-8.71E+01,2.13E+01,2.67E+01,1.05E-01,6.95E-01,-5.90E-02,3.70E-01,-1.72E+00
116,-4.74E+01,-2.29E+02,6.60E+00,-1.81E+00,1.96E-01,-1.58E-02,-8.70E+01,2.13E+01,2.67E+01,1.06E-01,6.96E-01,-5.90E-02,3.70E-01,-1.72E+00
117,-4.73E+01,-2.29E+02,6.71E+00,-1.81E+00,1.96E-01,-1.58E-02,-8.70E+01,2.13E+01,2.67E+01,1.06E-01,6.96E-01,-5.89E-02,3.70E-01,-1.72E+00
118,-4.73E+01,-2.29E+02,6.77E+00,-1.81E+00,1.96E-01,-1.58E-02,-8.69E+01,2.14E+01,2.67E+01,1.06E-01,6.97E-01,-5.89E-02,3.69E-01,-1.72E+00
119,-4.73E+01,-2.29E+02,6.75E+00,-1.81E+00,1.96E-01,-1.59E-02,-8.69E+01,2.13E+01,2.67E+01,1.06E-01,6.98E-01,-5.88E-02,3.69E-01,-1.72E+00
120,-4.72E+01,-2.30E+02,6.67E+00,-1.82E+00,1.95E-01,-1.59E-02,-8.69E+01,2.13E+01,2.67E+01,1.06E-01,6.98E-01,-5.87E-02,3.69E-01,-1.73E+00
121,-4.71E+01,-2.30E+02,6.54E+00,-1.82E+00,1.95E-01,-1.60E-02,-8.68E+01,2.12E+01,2.67E+01,1.06E-01,6.99E-01,-5.85E-02,3.68E-01,-1.73E+00
122,-4.71E+01,-2.31E+02,6.37E+00,-1.82E+00,1.95E-01,-1.61E-02,-8.68E+01,2.12E+01,2.67E+01,1.06E-01,7.00E-01,-5.84E-02,3.68E-01,-1.73E+00
123,-4.70E+01,-2.31E+02,6.18E+00,-1.82E+00,1.95E-01,-1.61E-02,-8.68E+01,2.11E+01,2.67E+01,1.06E-01,7.00E-01,-5.82E-02,3.67E-01,-1.74E+00
124,-4.70E+01,-2.32E+02,5.98E+00,-1.82E+00,1.94E-01,-1.62E-02,-8.67E+01,2.11E+01,2.67E+01,1.07E-01,7.00E-01,-5.81E-02,3.67E-01,-1.74E+00
125,-4.69E+01,-2.32E+02,5.79E+00,-1.82E+00,1.94E-01,-1.63E-02,-8.66E+01,2.10E+01,2.67E+01,1.07E-01,7.01E-01,-5.80E-02,3.66E-01,-1.74E+00
126,-4.68E+01,-2.32E+02,5.62E+00,-1.82E+00,1.94E-01,-1.63E-02,-8.65E+01,2.09E+01,2.66E+01,1.07E-01,7.01E-01,-5.79E-02,3.66E-01,-1.74E+00
127,-4.67E+01,-2.32E+02,5.49E+00,-1.82E+00,1.94E-01,-1.63E-02,-8.63E+01,2.08E+01,2.65E+01,1.07E-01,7.02E-01,-5.78E-02,3.65E-01,-1.74E+00
128,-4.66E+01,-2.32E+02,5.38E+00,-1.82E+00,1.94E-01,-1.64E-02,-8.62E+01,2.07E+01,2.64E+01,1.07E-01,7.02E-01,-5.78E-02,3.64E-01,-1.74E+00
